Applicant_ID,default_status
Apcnt_1000032,0.31212240418374887
Apcnt_1000048,0.3508071904269409
Apcnt_1000052,0.3890093365152181
Apcnt_1000076,0.7507577994243498
Apcnt_1000080,0.1641049688549193
Apcnt_1000084,0.3893857395185413
Apcnt_1000104,0.3916258899732292
Apcnt_1000116,0.5995050209185371
Apcnt_1000128,0.400054618734777
Apcnt_1000156,0.2920023672091459
Apcnt_1000192,0.10201298583505854
Apcnt_1000208,0.023919605083455024
Apcnt_1000264,0.542744472923635
Apcnt_1000288,0.045008595189559235
Apcnt_1000292,0.46700529122490436
Apcnt_1000328,0.6736540902973405
Apcnt_1000336,0.33841469037290717
Apcnt_1000356,0.07066788690153136
Apcnt_1000368,0.11896064121294278
Apcnt_1000372,0.725081112703009
Apcnt_1000392,0.07624895208632435
Apcnt_1000396,0.0837023642240625
Apcnt_1000400,0.056068323020595126
Apcnt_1000416,0.2505930857700389
Apcnt_1000428,0.025634536840050938
Apcnt_1000440,0.04123018085361657
Apcnt_1000456,0.5219439903396543
Apcnt_1000472,0.047072462209120716
Apcnt_1000488,0.1426055106707318
Apcnt_1000492,0.07683475650185079
Apcnt_1000504,0.6753077726193863
Apcnt_1000516,0.3035936671566398
Apcnt_1000532,0.08755052119728443
Apcnt_1000552,0.1942907901402956
Apcnt_1000564,0.3668331272431142
Apcnt_1000576,0.721626035515748
Apcnt_1000596,0.06972129923442177
Apcnt_1000620,0.10466188482307368
Apcnt_1000624,0.016795501686788054
Apcnt_1000636,0.004521846450187679
Apcnt_1000648,0.02176115593773143
Apcnt_1000668,0.037356186233498546
Apcnt_1000680,0.09799145450370214
Apcnt_1000696,0.03623488801075952
Apcnt_1000704,0.5015968776891138
Apcnt_1000724,0.04077354317560743
Apcnt_1000740,0.273811796388023
Apcnt_1000744,0.011846292205200892
Apcnt_1000756,0.031738154081998156
Apcnt_1000768,0.005070349032201707
Apcnt_1000784,0.0030458252085761527
Apcnt_1000796,0.004825004324597014
Apcnt_1000808,0.002792930220104634
Apcnt_1000816,0.014147238174933921
Apcnt_1000820,0.005150757745688151
Apcnt_1000824,0.0795367370601143
Apcnt_1000856,0.5379507100414602
Apcnt_1000872,0.6259790398332092
Apcnt_1000880,0.0737144913995752
Apcnt_1000904,0.20374202144232534
Apcnt_1000912,0.609794919802723
Apcnt_1000920,0.7086929330840611
Apcnt_1000952,0.060768843421905104
Apcnt_1000960,0.08920180733408106
Apcnt_1000964,0.17030029512398523
Apcnt_1000968,0.01636060933015906
Apcnt_1000976,0.7111394098499795
Apcnt_1000984,0.525093357368736
Apcnt_1000992,0.2146690842571927
Apcnt_1000996,0.4913571390697669
Apcnt_1001000,0.16348662104342376
Apcnt_1001008,0.07116941779947371
Apcnt_1001028,0.018221284963891336
Apcnt_1001032,0.47387225095135166
Apcnt_1001036,0.6843457025279923
Apcnt_1001040,0.5355005769276475
Apcnt_1001048,0.6204604689427409
Apcnt_1001052,0.027012319190758905
Apcnt_1001068,0.748873002229699
Apcnt_1001076,0.126516721671636
Apcnt_1001080,0.1796472046309773
Apcnt_1001092,0.10310276856748671
Apcnt_1001120,0.6824634436907185
Apcnt_1001144,0.5338781813786753
Apcnt_1001148,0.17560013131247867
Apcnt_1001168,0.1874675382943078
Apcnt_1001176,0.765352532988308
Apcnt_1001200,0.16218147429704394
Apcnt_1001224,0.3820364983926047
Apcnt_1001228,0.5015178475786434
Apcnt_1001236,0.038915996119054594
Apcnt_1001244,0.2280873433880894
Apcnt_1001248,0.014253678778320174
Apcnt_1001256,0.2606099995140338
Apcnt_1001260,0.19227031153077437
Apcnt_1001264,0.009982164218744214
Apcnt_1001288,0.035238565011575844
Apcnt_1001292,0.07933799479565809
Apcnt_1001296,0.05968080203972823
Apcnt_1001304,0.24134109497679063
Apcnt_1001308,0.11428602940872212
Apcnt_1001316,0.14598629331399374
Apcnt_1001320,0.43515725955787704
